product_code,1234,y,z
pt,240.133,771.178,0
pt,239.279,771.515,0
pt,238.424,771.852,0
pt,237.57,772.19,0
pt,236.716,772.528,0
pt,235.862,772.867,0
pt,235.009,773.207,0
pt,234.157,773.549,0
pt,233.304,773.892,0
pt,232.453,774.237,0
pt,231.603,774.584,0
pt,230.753,774.933,0
pt,229.904,775.285,0
pt,229.057,775.639,0
pt,228.21,775.997,0
pt,227.365,776.357,0
pt,226.521,776.721,0
pt,225.766,777.05,0
pt,225.012,777.383,0
pt,224.259,777.718,0
pt,223.509,778.058,0
pt,222.759,778.401,0
pt,222.012,778.748,0
pt,221.267,779.1,0
pt,220.524,779.456,0
pt,219.783,779.817,0
pt,219.045,780.183,0
pt,218.309,780.554,0
pt,217.577,780.931,0
pt,216.847,781.314,0
pt,216.121,781.702,0
pt,215.397,782.097,0
pt,214.678,782.499,0
pt,214.022,782.872,0
pt,213.37,783.251,0
pt,212.722,783.635,0
pt,212.076,784.025,0
pt,211.434,784.421,0
pt,210.796,784.823,0
pt,210.161,785.231,0
pt,209.531,785.644,0
pt,208.904,786.063,0
pt,208.282,786.489,0
pt,207.663,786.92,0
pt,207.049,787.358,0
pt,206.44,787.801,0
pt,205.835,788.251,0
pt,205.235,788.706,0
pt,204.64,789.168,0
pt,204.089,789.604,0
pt,203.543,790.046,0
pt,203.001,790.492,0
pt,202.462,790.943,0
pt,201.927,791.398,0
pt,201.395,791.857,0
pt,200.867,792.32,0
pt,200.341,792.787,0
pt,199.819,793.257,0
pt,199.299,793.73,0
pt,198.781,794.205,0
pt,198.266,794.683,0
pt,197.753,795.164,0
pt,197.241,795.646,0
pt,196.732,796.13,0
pt,196.224,796.615,0
pt,195.768,797.053,0
pt,195.312,797.492,0
pt,194.858,797.931,0
pt,194.404,798.37,0
pt,193.95,798.81,0
pt,193.497,799.25,0
pt,193.043,799.69,0
pt,192.589,800.13,0
pt,192.135,800.569,0
pt,191.681,801.007,0
pt,191.225,801.445,0
pt,190.769,801.882,0
pt,190.311,802.318,0
pt,189.852,802.752,0
pt,189.392,803.185,0
pt,188.93,803.617,0
pt,188.534,803.983,0
pt,188.137,804.349,0
pt,187.738,804.712,0
pt,187.338,805.073,0
pt,186.935,805.432,0
pt,186.53,805.789,0
pt,186.123,806.143,0
pt,185.713,806.494,0
pt,185.301,806.842,0
pt,184.886,807.186,0
pt,184.468,807.527,0
pt,184.047,807.864,0
pt,183.622,808.197,0
pt,183.194,808.525,0
pt,182.763,808.849,0
pt,182.327,809.168,0
pt,181.614,809.674,0
pt,180.891,810.166,0
pt,180.157,810.642,0
pt,179.413,811.101,0
pt,178.659,811.542,0
pt,177.894,811.965,0
pt,177.119,812.367,0
pt,176.333,812.748,0
pt,175.619,813.071,0
pt,174.897,813.376,0
pt,174.167,813.664,0
pt,173.431,813.936,0
pt,172.689,814.191,0
pt,171.941,814.43,0
pt,171.188,814.654,0
pt,170.431,814.864,0
pt,169.58,815.08,0
pt,168.725,815.278,0
pt,167.867,815.458,0
pt,167.004,815.618,0
pt,166.139,815.759,0
pt,165.271,815.88,0
pt,164.4,815.981,0
pt,163.528,816.061,0
pt,162.882,816.107,0
pt,162.236,816.142,0
pt,161.589,816.166,0
pt,160.942,816.18,0
pt,160.294,816.185,0
pt,159.646,816.18,0
pt,158.997,816.166,0
pt,158.349,816.143,0
pt,157.701,816.113,0
pt,157.053,816.075,0
pt,156.405,816.03,0
pt,155.757,815.978,0
pt,155.11,815.919,0
pt,154.464,815.855,0
pt,153.818,815.785,0
pt,153.173,815.711,0
pt,152.294,815.601,0
pt,151.417,815.484,0
pt,150.542,815.358,0
pt,149.668,815.224,0
pt,148.795,815.083,0
pt,147.924,814.935,0
pt,147.055,814.779,0
pt,146.186,814.617,0
pt,145.319,814.447,0
pt,144.454,814.272,0
pt,143.589,814.09,0
pt,142.726,813.902,0
pt,141.864,813.709,0
pt,141.004,813.51,0
pt,140.144,813.306,0
pt,139.286,813.097,0
pt,138.339,812.861,0
pt,137.393,812.619,0
pt,136.449,812.371,0
pt,135.507,812.117,0
pt,134.566,811.858,0
pt,133.626,811.593,0
pt,132.688,811.322,0
pt,131.752,811.045,0
pt,130.818,810.763,0
pt,129.885,810.475,0
pt,128.954,810.181,0
pt,128.025,809.882,0
pt,127.098,809.577,0
pt,126.173,809.266,0
pt,125.25,808.95,0
pt,124.329,808.628,0
pt,123.794,808.438,0
pt,123.26,808.246,0
pt,122.726,808.052,0
pt,122.194,807.857,0
pt,121.662,807.66,0
pt,121.13,807.461,0
pt,120.599,807.26,0
pt,120.069,807.058,0
pt,119.54,806.854,0
pt,119.011,806.649,0
pt,118.482,806.442,0
pt,117.955,806.234,0
pt,117.427,806.024,0
pt,116.901,805.812,0
pt,116.375,805.6,0
pt,115.849,805.385,0
pt,115.324,805.17,0
pt,114.799,804.953,0
pt,114.275,804.735,0
pt,113.752,804.516,0
pt,113.229,804.296,0
pt,112.706,804.075,0
pt,112.184,803.852,0
pt,111.662,803.629,0
pt,111.141,803.404,0
pt,110.62,803.178,0
pt,110.099,802.952,0
pt,109.579,802.724,0
pt,109.059,802.496,0
pt,108.54,802.267,0
pt,108.021,802.037,0
pt,107.502,801.806,0
pt,106.9,801.537,0
pt,106.298,801.267,0
pt,105.696,800.996,0
pt,105.095,800.724,0
pt,104.495,800.451,0
pt,103.895,800.177,0
pt,103.295,799.902,0
pt,102.696,799.626,0
pt,102.097,799.349,0
pt,101.499,799.07,0
pt,100.902,798.791,0
pt,100.305,798.511,0
pt,99.7083,798.229,0
pt,99.1123,797.947,0
pt,98.5169,797.663,0
pt,97.922,797.378,0
pt,97.3276,797.092,0
pt,96.7338,796.805,0
pt,96.1406,796.517,0
pt,95.548,796.227,0
pt,94.9559,795.937,0
pt,94.3644,795.645,0
pt,93.7735,795.352,0
pt,93.1832,795.058,0
pt,92.5934,794.763,0
pt,92.0043,794.466,0
pt,91.4158,794.168,0
pt,90.8279,793.869,0
pt,90.2407,793.569,0
pt,89.6541,793.268,0
pt,89.0681,792.965,0
pt,88.4827,792.661,0
pt,87.9076,792.36,0
pt,87.3331,792.059,0
pt,86.7593,791.756,0
pt,86.1862,791.452,0
pt,85.6137,791.147,0
pt,85.0419,790.84,0
pt,84.4708,790.532,0
pt,83.9003,790.223,0
pt,83.3306,789.912,0
pt,82.7617,789.6,0
pt,82.1934,789.287,0
pt,81.6259,788.972,0
pt,81.0592,788.656,0
pt,80.4932,788.339,0
pt,79.928,788.02,0
pt,79.3636,787.7,0
pt,78.8,787.379,0
pt,78.2372,787.056,0
pt,77.6753,786.731,0
pt,77.1141,786.406,0
pt,76.5538,786.078,0
pt,75.9944,785.75,0
pt,75.4358,785.42,0
pt,74.8781,785.088,0
pt,74.3213,784.755,0
pt,73.7654,784.421,0
pt,73.2104,784.085,0
pt,72.6563,783.747,0
pt,72.1031,783.408,0
pt,71.5509,783.067,0
pt,70.9997,782.725,0
pt,70.4494,782.382,0
pt,69.9678,782.079,0
pt,69.4871,781.775,0
pt,69.007,781.471,0
pt,68.5278,781.164,0
pt,68.0493,780.857,0
pt,67.5716,780.549,0
pt,67.0946,780.239,0
pt,66.6185,779.928,0
pt,66.1431,779.616,0
pt,65.6686,779.303,0
pt,65.1948,778.988,0
pt,64.7219,778.672,0
pt,64.2497,778.355,0
pt,63.7784,778.037,0
pt,63.3079,777.718,0
pt,62.8382,777.397,0
pt,62.3694,777.075,0
pt,61.9014,776.752,0
pt,61.4342,776.428,0
pt,60.9679,776.102,0
pt,60.5024,775.775,0
pt,60.0378,775.447,0
pt,59.5741,775.118,0
pt,59.1112,774.788,0
pt,58.6493,774.456,0
pt,58.1882,774.123,0
pt,57.7279,773.789,0
pt,57.2686,773.453,0
pt,56.8102,773.116,0
pt,56.3526,772.778,0
pt,55.896,772.439,0
pt,55.4403,772.099,0
pt,55.0324,771.792,0
pt,54.6253,771.485,0
pt,54.219,771.176,0
pt,53.8134,770.867,0
pt,53.4087,770.556,0
